"S.No.","president","party","vice","salary","date updated","date created"
16,"ABRAHAM LINCOLN","Republican","HANNIBAL HAMLIN",95000,"2021-07-14","2012-03-04"
7,"ANDREW JACKSON","Democratic","JOHN C. CALHOUN",35000,"2021-07-14","2012-03-04"
17,"ANDREW JOHNSON","Democratic","OFFICE VACANT",105000,"2021-07-14","2012-03-04"
44,"BARACK OBAMA","Democratic","JOE BIDEN",395000,"2021-07-14","2020-02-01"
23,"BENJAMIN HARRISON","Republican","LEVI P. MORTON",165000,"2021-07-14","2012-03-04"
42,"BILL CLINTON","Democratic","AL GORE",365000,"2021-07-14","2012-03-04"
30,"CALVIN COOLIDGE","Republican","OFFICE VACANT",245000,"2021-07-14","2012-03-04"
21,"CHESTER A. ARTHUR","Republican","OFFICE VACANT",145000,"2021-07-14","2012-03-04"
45,"DONALD TRUMP","Republican","MIKE PENCE",405000,"2021-07-14","2020-02-01"
34,"DWIGHT D. EISENHOWER","Republican","RICHARD NIXON",285000,"2021-07-14","2012-03-04"
32,"FRANKLIN D. ROOSEVELT","Democratic","JOHN NANCE GARNER",265000,"2021-07-14","2012-03-04"
14,"FRANKLIN PIERCE","Democratic","WILLIAM R. KING",75000,"2021-07-14","2012-03-04"
41,"GEORGE H. W. BUSH","Republican","DAN QUAYLE",355000,"2021-07-14","2012-03-04"
43,"GEORGE W. BUSH","Republican","DICK CHENEY",375000,"2021-07-14","2012-03-04"
1,"GEORGE WASHINGTON","Nonpartisan","JOHN ADAMS",5000,"2021-07-14","2012-03-04"
38,"GERALD FORD","Republican","OFFICE VACANT",325000,"2021-07-14","2012-03-04"
24,"GROVER CLEVELAND","Democratic","ADLAI STEVENSON",175000,"2021-07-14","2012-03-04"
22,"GROVER CLEVELAND","Democratic","THOMAS A. HENDRICKS",155000,"2021-07-14","2012-03-04"
33,"HARRY S. TRUMAN","Democratic","OFFICE VACANT",275000,"2021-07-14","2012-03-04"
31,"HERBERT HOOVER","Republican","CHARLES CURTIS",255000,"2021-07-14","2012-03-04"
20,"JAMES A. GARFIELD","Republican","CHESTER A. ARTHUR",135000,"2021-07-14","2012-03-04"
15,"JAMES BUCHANAN","Democratic","JOHN C. BRECKINRIDGE",85000,"2021-07-14","2012-03-04"
11,"JAMES K. POLK","Democratic","GEORGE M. DALLAS",55000,"2021-07-14","2012-03-04"
4,"JAMES MADISON","Democratic-  Republican","GEORGE CLINTON",20000,"2021-07-14","2012-03-04"
5,"JAMES MONROE","Democratic-  Republican","DANIEL D. TOMPKINS",25000,"2021-07-14","2012-03-04"
39,"JIMMY CARTER","Democratic","WALTER MONDALE",335000,"2021-07-14","2012-03-04"
2,"JOHN ADAMS","Federalist","THOMAS JEFFERSON",10000,"2021-07-14","2012-03-04"
35,"JOHN F. KENNEDY","Democratic","LYNDON B. JOHNSON",295000,"2021-07-14","2012-03-04"
6,"JOHN QUINCY ADAMS","Democratic-  Republican","JOHN C. CALHOUN",30000,"2021-07-14","2012-03-04"
10,"JOHN TYLER","Whig","OFFICE VACANT",50000,"2021-07-14","2012-03-04"
36,"LYNDON B. JOHNSON","Democratic","OFFICE VACANT",305000,"2021-07-14","2012-03-04"
8,"MARTIN VAN BUREN","Democratic","RICHARD MENTOR JOHNSON",40000,"2021-07-14","2012-03-04"
13,"MILLARD FILLMORE","Whig","OFFICE VACANT",65000,"2021-07-14","2012-03-04"
37,"RICHARD NIXON","Republican","SPIRO AGNEW",315000,"2021-07-14","2012-03-04"
40,"RONALD REAGAN","Republican","GEORGE H. W. BUSH",345000,"2021-07-14","2012-03-04"
19,"RUTHERFORD B. HAYES","Republican","WILLIAM A. WHEELER",125000,"2021-07-14","2012-03-04"
26,"THEODORE ROOSEVELT","Republican","OFFICE VACANT",195000,"2021-07-14","2012-03-04"
3,"THOMAS JEFFERSON","Democratic-  Republican","AARON BURR",15000,"2021-07-14","2012-03-04"
18,"ULYSSES S. GRANT","Republican","SCHUYLER COLFAX",115000,"2021-07-14","2012-03-04"
29,"WARREN G. HARDING","Republican","CALVIN COOLIDGE",235000,"2021-07-14","2012-03-04"
9,"WILLIAM HENRY HARRISON","Whig","JOHN TYLER",45000,"2021-07-14","2012-03-04"
27,"WILLIAM HOWARD TAFT","Republican","JAMES S. SHERMAN",205000,"2021-07-14","2012-03-04"
25,"WILLIAM MCKINLEY","Republican","GARRET HOBART",185000,"2021-07-14","2012-03-04"
28,"WOODROW WILSON","Democratic","THOMAS R. MARSHALL",225000,"2021-07-14","2012-03-04"
28,"WOODROW WILSON","Democratic","THOMAS R. MARSHALL",225000,"2021-07-14","2012-03-04"
12,"ZACHARY TAYLOR","Whig","MILLARD FILLMORE",60000,"2021-07-14","2012-03-04"
