"MyUnknownColumn";"S.No.";"president";"prior";"party";"vice";"salary";"date updated";"date created"
0;1;"George Washington";"Commander-in-Chief  of the  Continental Army   ( 1775–1783 )";"Nonpartisan";"John Adams";"$5.000,00";"14/07/2021";"04/03/2012"
1;2;"john adams";"1st  Vice President of the United States";"Federalist";"Thomas Jefferson";"$10.000,00";"14/07/2021";"04/03/2012"
2;3;"Thomas Jefferson";"2nd  Vice President of the United States";"Democratic-  Republican";"    Aaron Burr";"$15.000,00";"14/07/2021";"04/03/2012"
3;4;"James Madison";"5th  United States Secretary of State   (1801–1809)";"Democratic-  Republican";"George    Clinton";"$20.000,00";"14/07/2021";"04/03/2012"
4;5;"JAMES MONROE";"7th  United States Secretary of State   (1811–1817)";"Democratic-  Republican";"Daniel D. Tompkins";"$25.000,00";"14/07/2021";"04/03/2012"
5;6;"John Quincy Adams";"8th  United States Secretary of State   (1817–1825)";"Democratic-  Republican";"John C. Calhoun";"$30.000,00";"14/07/2021";"04/03/2012"
6;7;"Andrew Jackson";"U.S. Senator   ( Class 2 )   from  Tennessee   (1823–1825)";"Democratic";"John C.     Calhoun";"$35.000,00";"14/07/2021";"04/03/2012"
7;8;"Martin Van Buren";"8th  Vice President of the United States";"Democratic";"Richard Mentor Johnson";"$40.000,00";"14/07/2021";"04/03/2012"
8;9;"William Henry Harrison";"United States Minister to Colombia   (1828–1829)";"Whig";"John Tyler";"$45.000,00";"14/07/2021";"04/03/2012"
9;10;"john tyler";"10th  Vice President of the United States";"Whig   April 4, 1841  –  September 13, 1841";"Office vacant";"$50.000,00";"14/07/2021";"04/03/2012"
10;11;"James K. Polk";"9th  Governor of Tennessee   (1839–1841)";"Democratic";"George         M. Dallas";"$55.000,00";"14/07/2021";"04/03/2012"
11;12;"Zachary Taylor";"Major General  of the  1st Infantry Regiment   United States Army   (1846–1849)";"Whig";"               Millard Fillmore";"$60.000,00";"14/07/2021";"04/03/2012"
12;13;"Millard Fillmore";"12th  Vice President of the United States";"Whig";"Office vacant";"$65.000,00";"14/07/2021";"04/03/2012"
13;14;"Franklin Pierce";"Brigadier General  of the  9th Infantry   United States Army   (1847–1848)";"Democratic";"William R. King";"$75.000,00";"14/07/2021";"04/03/2012"
14;15;"James Buchanan";"United States Minister  to the   Court of St James's   (1853–1856)";"Democratic";"John C. Breckinridge";"$85.000,00";"14/07/2021";"04/03/2012"
15;16;"Abraham Lincoln";"U.S. Representative  for  Illinois' 7th District   (1847–1849)";"Republican";"Hannibal Hamlin";"$95.000,00";"14/07/2021";"04/03/2012"
16;17;"Andrew Johnson";"16th  Vice President of the United States";"Democratic";"Office vacant";"$105.000,00";"14/07/2021";"04/03/2012"
17;18;"Ulysses S. Grant";"Commanding General  of the U.S. Army   ( 1864–1869 )";"Republican";"Schuyler Colfax";"$115.000,00";"14/07/2021";"04/03/2012"
